LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_32	4	600	600	600	30	0	0.013	NA	1.0
Locus2	set_32	4	600	600	600	28	0	0.016	NA	1.0
Locus3	set_32	4	600	600	600	30	0	0.021	0	1.0
Locus4	set_32	4	600	600	600	27	0	0.018	1	1.0
Locus5	set_32	4	600	600	600	29	0	0.013	0	1.0
Locus6	set_32	4	600	600	600	29	0	0.017	1	1.0
Locus7	set_32	4	600	600	600	28	0	0.013	1	1.0
Locus8	set_32	4	600	600	600	30	0	0.012	1	1.0
Locus9	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus10	set_32	4	600	600	600	30	0	0.013	0	1.0
Locus11	set_32	4	600	600	600	29	0	0.018	1	1.0
Locus12	set_32	4	600	600	600	30	0	0.020	1	1.0
Locus13	set_32	4	600	600	600	28	0	0.015	1	1.0
Locus14	set_32	4	600	600	600	30	0	0.018	1	1.0
Locus15	set_32	4	600	600	600	30	0	0.018	3	1.0
Locus16	set_32	4	600	600	600	30	0	0.013	2	1.0
Locus17	set_32	4	600	600	600	30	0	0.016	2	1.0
Locus18	set_32	4	600	600	600	29	0	0.015	0	1.0
Locus19	set_32	4	600	600	600	29	0	0.016	NA	1.0
Locus20	set_32	4	600	600	600	30	0	0.018	0	1.0
Locus21	set_32	4	600	600	600	30	0	0.017	2	1.0
Locus22	set_32	4	600	600	600	28	0	0.019	1	1.0
Locus23	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus24	set_32	4	600	600	600	27	0	0.015	NA	1.0
Locus25	set_32	4	600	600	600	30	0	0.017	1	1.0
Locus26	set_32	4	600	600	600	30	0	0.022	1	1.0
Locus27	set_32	4	600	600	600	28	0	0.017	2	1.0
Locus28	set_32	4	600	600	600	30	0	0.018	0	1.0
Locus29	set_32	4	600	600	600	27	0	0.019	NA	1.0
Locus30	set_32	4	600	600	600	27	0	0.018	2	1.0
Locus31	set_32	4	600	600	600	29	0	0.018	1	1.0
Locus32	set_32	4	600	600	600	30	0	0.017	0	1.0
Locus33	set_32	4	600	600	600	29	0	0.014	2	1.0
Locus34	set_32	4	600	600	600	29	0	0.016	2	1.0
Locus35	set_32	4	600	600	600	29	0	0.018	0	1.0
Locus36	set_32	4	600	600	600	30	0	0.016	NA	1.0
Locus37	set_32	4	600	600	600	30	0	0.014	2	1.0
Locus38	set_32	4	600	600	600	28	0	0.011	1	1.0
Locus39	set_32	4	600	600	600	29	0	0.017	4	1.0
Locus40	set_32	4	600	600	600	28	0	0.014	1	1.0
Locus41	set_32	4	600	600	600	30	0	0.020	1	1.0
Locus42	set_32	4	600	600	600	28	0	0.013	1	1.0
Locus43	set_32	4	600	600	600	28	0	0.013	2	1.0
Locus44	set_32	4	600	600	600	29	0	0.018	0	1.0
Locus45	set_32	4	600	600	600	28	0	0.021	1	1.0
Locus46	set_32	4	600	600	600	29	0	0.017	2	1.0
Locus47	set_32	4	600	600	600	30	0	0.011	2	1.0
Locus48	set_32	4	600	600	600	30	0	0.017	0	1.0
Locus49	set_32	4	600	600	600	29	0	0.017	2	1.0
Locus50	set_32	4	600	600	600	30	0	0.013	NA	1.0
Locus51	set_32	4	600	600	600	29	0	0.015	0	1.0
Locus52	set_32	4	600	600	600	29	0	0.014	0	1.0
Locus53	set_32	4	600	600	600	30	0	0.018	0	1.0
Locus54	set_32	4	600	600	600	30	0	0.014	0	1.0
Locus55	set_32	4	600	600	600	28	0	0.016	1	1.0
Locus56	set_32	4	600	600	600	29	0	0.016	0	1.0
Locus57	set_32	4	600	600	600	30	0	0.014	NA	1.0
Locus58	set_32	4	600	600	600	29	0	0.017	3	1.0
Locus59	set_32	4	600	600	600	29	0	0.011	1	1.0
Locus60	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus61	set_32	4	600	600	600	29	0	0.019	2	1.0
Locus62	set_32	4	600	600	600	28	0	0.021	NA	1.0
Locus63	set_32	4	600	600	600	28	0	0.016	1	1.0
Locus64	set_32	4	600	600	600	29	0	0.015	NA	1.0
Locus65	set_32	4	600	600	600	28	0	0.015	0	1.0
Locus66	set_32	4	600	600	600	25	0	0.018	1	1.0
Locus67	set_32	4	600	600	600	29	0	0.015	2	1.0
Locus68	set_32	4	600	600	600	28	0	0.014	0	1.0
Locus69	set_32	4	600	600	600	30	0	0.017	1	1.0
Locus70	set_32	4	600	600	600	30	0	0.018	3	1.0
Locus71	set_32	4	600	600	600	28	0	0.014	2	1.0
Locus72	set_32	4	600	600	600	29	0	0.022	1	1.0
Locus73	set_32	4	600	600	600	30	0	0.014	2	1.0
Locus74	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus75	set_32	4	600	600	600	29	0	0.014	1	1.0
Locus76	set_32	4	600	600	600	28	0	0.016	0	1.0
Locus77	set_32	4	600	600	600	28	0	0.014	1	1.0
Locus78	set_32	4	600	600	600	28	0	0.017	1	1.0
Locus79	set_32	4	600	600	600	30	0	0.021	3	1.0
Locus80	set_32	4	600	600	600	28	0	0.018	1	1.0
Locus81	set_32	4	600	600	600	27	0	0.014	0	1.0
Locus82	set_32	4	600	600	600	29	0	0.023	1	1.0
Locus83	set_32	4	600	600	600	29	0	0.019	1	1.0
Locus84	set_32	4	600	600	600	28	0	0.015	1	1.0
Locus85	set_32	4	600	600	600	29	0	0.012	1	1.0
Locus86	set_32	4	600	600	600	30	0	0.018	2	1.0
Locus87	set_32	4	600	600	600	29	0	0.020	1	1.0
Locus88	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus89	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus90	set_32	4	600	600	600	28	0	0.018	0	1.0
Locus91	set_32	4	600	600	600	30	0	0.014	1	1.0
Locus92	set_32	4	600	600	600	30	0	0.013	1	1.0
Locus93	set_32	4	600	600	600	27	0	0.015	1	1.0
Locus94	set_32	4	600	600	600	28	0	0.018	0	1.0
Locus95	set_32	4	600	600	600	30	0	0.016	3	1.0
Locus96	set_32	4	600	600	600	28	0	0.020	NA	1.0
Locus97	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus98	set_32	4	600	600	600	30	0	0.017	0	1.0
Locus99	set_32	4	600	600	600	30	0	0.020	0	1.0
Locus100	set_32	4	600	600	600	30	0	0.025	0	1.0
Locus101	set_32	4	600	600	600	27	0	0.018	1	1.0
Locus102	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus103	set_32	4	600	600	600	29	0	0.015	1	1.0
Locus104	set_32	4	600	600	600	30	0	0.014	1	1.0
Locus105	set_32	4	600	600	600	30	0	0.016	2	1.0
Locus106	set_32	4	600	600	600	30	0	0.015	1	1.0
Locus107	set_32	4	600	600	600	29	0	0.015	1	1.0
Locus108	set_32	4	600	600	600	30	0	0.015	1	1.0
Locus109	set_32	4	600	600	600	30	0	0.016	0	1.0
Locus110	set_32	4	600	600	600	30	0	0.017	2	1.0
Locus111	set_32	4	600	600	600	29	0	0.014	1	1.0
Locus112	set_32	4	600	600	600	26	0	0.018	0	1.0
Locus113	set_32	4	600	600	600	30	0	0.023	2	1.0
Locus114	set_32	4	600	600	600	30	0	0.018	0	1.0
Locus115	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus116	set_32	4	600	600	600	30	0	0.015	0	1.0
Locus117	set_32	4	600	600	600	29	0	0.014	3	1.0
Locus118	set_32	4	600	600	600	29	0	0.014	1	1.0
Locus119	set_32	4	600	600	600	28	0	0.014	3	1.0
Locus120	set_32	4	600	600	600	30	0	0.014	1	1.0
Locus121	set_32	4	600	600	600	30	0	0.024	2	1.0
Locus122	set_32	4	600	600	600	30	0	0.015	2	1.0
Locus123	set_32	4	600	600	600	30	0	0.015	0	1.0
Locus124	set_32	4	600	600	600	30	0	0.015	4	1.0
Locus125	set_32	4	600	600	600	29	0	0.019	1	1.0
Locus126	set_32	4	600	600	600	30	0	0.013	1	1.0
Locus127	set_32	4	600	600	600	30	0	0.020	0	1.0
Locus128	set_32	4	600	600	600	30	0	0.014	3	1.0
Locus129	set_32	4	600	600	600	30	0	0.023	0	1.0
Locus130	set_32	4	600	600	600	27	0	0.018	1	1.0
Locus131	set_32	4	600	600	600	30	0	0.015	3	1.0
Locus132	set_32	4	600	600	600	30	0	0.014	0	1.0
Locus133	set_32	4	600	600	600	30	0	0.020	2	1.0
Locus134	set_32	4	600	600	600	29	0	0.015	2	1.0
Locus135	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus136	set_32	4	600	600	600	30	0	0.016	0	1.0
Locus137	set_32	4	600	600	600	29	0	0.014	1	1.0
Locus138	set_32	4	600	600	600	30	0	0.019	2	1.0
Locus139	set_32	4	600	600	600	30	0	0.015	1	1.0
Locus140	set_32	4	600	600	600	30	0	0.017	1	1.0
Locus141	set_32	4	600	600	600	30	0	0.017	1	1.0
Locus142	set_32	4	600	600	600	29	0	0.016	0	1.0
Locus143	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus144	set_32	4	600	600	600	30	0	0.013	2	1.0
Locus145	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus146	set_32	4	600	600	600	30	0	0.019	NA	1.0
Locus147	set_32	4	600	600	600	29	0	0.014	2	1.0
Locus148	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus149	set_32	4	600	600	600	30	0	0.018	2	1.0
Locus150	set_32	4	600	600	600	29	0	0.016	0	1.0
Locus151	set_32	4	600	600	600	28	0	0.018	0	1.0
Locus152	set_32	4	600	600	600	29	0	0.019	1	1.0
Locus153	set_32	4	600	600	600	30	0	0.020	1	1.0
Locus154	set_32	4	600	600	600	30	0	0.020	1	1.0
Locus155	set_32	4	600	600	600	30	0	0.016	0	1.0
Locus156	set_32	4	600	600	600	30	0	0.020	2	1.0
Locus157	set_32	4	600	600	600	28	0	0.015	2	1.0
Locus158	set_32	4	600	600	600	29	0	0.016	1	1.0
Locus159	set_32	4	600	600	600	29	0	0.015	2	1.0
Locus160	set_32	4	600	600	600	30	0	0.017	0	1.0
Locus161	set_32	4	600	600	600	29	0	0.018	2	1.0
Locus162	set_32	4	600	600	600	29	0	0.015	1	1.0
Locus163	set_32	4	600	600	600	30	0	0.016	1	1.0
Locus164	set_32	4	600	600	600	28	0	0.016	1	1.0
Locus165	set_32	4	600	600	600	30	0	0.010	1	1.0
Locus166	set_32	4	600	600	600	30	0	0.015	3	1.0
Locus167	set_32	4	600	600	600	29	0	0.013	2	1.0
Locus168	set_32	4	600	600	600	28	0	0.018	NA	1.0
Locus169	set_32	4	600	600	600	29	0	0.018	NA	1.0
Locus170	set_32	4	600	600	600	30	0	0.019	1	1.0
Locus171	set_32	4	600	600	600	29	0	0.013	0	1.0
Locus172	set_32	4	600	600	600	30	0	0.019	1	1.0
Locus173	set_32	4	600	600	600	28	0	0.017	1	1.0
Locus174	set_32	4	600	600	600	30	0	0.023	2	1.0
Locus175	set_32	4	600	600	600	28	0	0.017	1	1.0
Locus176	set_32	4	600	600	600	29	0	0.014	0	1.0
Locus177	set_32	4	600	600	600	30	0	0.015	1	1.0
Locus178	set_32	4	600	600	600	29	0	0.016	1	1.0
Locus179	set_32	4	600	600	600	30	0	0.016	0	1.0
Locus180	set_32	4	600	600	600	30	0	0.017	1	1.0
Locus181	set_32	4	600	600	600	29	0	0.023	NA	1.0
Locus182	set_32	4	600	600	600	29	0	0.014	0	1.0
Locus183	set_32	4	600	600	600	30	0	0.019	0	1.0
Locus184	set_32	4	600	600	600	30	0	0.019	1	1.0
Locus185	set_32	4	600	600	600	29	0	0.016	2	1.0
Locus186	set_32	4	600	600	600	29	0	0.018	2	1.0
Locus187	set_32	4	600	600	600	30	0	0.015	3	1.0
Locus188	set_32	4	600	600	600	28	0	0.016	1	1.0
Locus189	set_32	4	600	600	600	30	0	0.010	NA	1.0
Locus190	set_32	4	600	600	600	29	0	0.016	1	1.0
Locus191	set_32	4	600	600	600	29	0	0.017	1	1.0
Locus192	set_32	4	600	600	600	30	0	0.018	NA	1.0
Locus193	set_32	4	600	600	600	25	0	0.016	0	1.0
Locus194	set_32	4	600	600	600	30	0	0.023	1	1.0
Locus195	set_32	4	600	600	600	30	0	0.018	0	1.0
