LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_88	4	600	600	600	74	0	0.039	2	1.0
Locus2	set_88	4	600	600	600	69	0	0.049	3	1.0
Locus3	set_88	4	600	600	600	72	0	0.043	5	1.0
Locus4	set_88	4	600	600	600	68	0	0.053	1	1.0
Locus5	set_88	4	600	600	600	69	0	0.038	3	1.0
Locus6	set_88	4	600	600	600	72	0	0.041	5	1.0
Locus7	set_88	4	600	600	600	71	0	0.039	5	1.0
Locus8	set_88	4	600	600	600	69	0	0.038	5	1.0
Locus9	set_88	4	600	600	600	72	0	0.041	3	1.0
Locus10	set_88	4	600	600	600	70	0	0.043	6	1.0
Locus11	set_88	4	600	600	600	66	0	0.049	5	1.0
Locus12	set_88	4	600	600	600	72	0	0.047	3	1.0
Locus13	set_88	4	600	600	600	72	0	0.046	3	1.0
Locus14	set_88	4	600	600	600	71	0	0.049	2	1.0
Locus15	set_88	4	600	600	600	72	0	0.033	3	1.0
Locus16	set_88	4	600	600	600	64	0	0.039	6	1.0
Locus17	set_88	4	600	600	600	67	0	0.035	9	1.0
Locus18	set_88	4	600	600	600	72	0	0.045	6	1.0
Locus19	set_88	4	600	600	600	67	0	0.040	2	1.0
Locus20	set_88	4	600	600	600	71	0	0.045	2	1.0
Locus21	set_88	4	600	600	600	67	0	0.042	2	1.0
Locus22	set_88	4	600	600	600	64	0	0.043	6	1.0
Locus23	set_88	4	600	600	600	70	0	0.043	4	1.0
Locus24	set_88	4	600	600	600	66	0	0.043	4	1.0
Locus25	set_88	4	600	600	600	69	0	0.037	5	1.0
Locus26	set_88	4	600	600	600	70	0	0.042	1	1.0
Locus27	set_88	4	600	600	600	67	0	0.033	2	1.0
Locus28	set_88	4	600	600	600	69	0	0.046	3	1.0
Locus29	set_88	4	600	600	600	69	0	0.045	5	1.0
Locus30	set_88	4	600	600	600	71	0	0.038	5	1.0
Locus31	set_88	4	600	600	600	72	0	0.041	6	1.0
Locus32	set_88	4	600	600	600	71	0	0.041	4	1.0
Locus33	set_88	4	600	600	600	69	0	0.040	3	1.0
Locus34	set_88	4	600	600	600	68	0	0.039	3	1.0
Locus35	set_88	4	600	600	600	68	0	0.035	3	1.0
Locus36	set_88	4	600	600	600	64	0	0.032	5	1.0
Locus37	set_88	4	600	600	600	67	0	0.044	2	1.0
Locus38	set_88	4	600	600	600	67	0	0.043	1	1.0
Locus39	set_88	4	600	600	600	67	0	0.036	4	1.0
Locus40	set_88	4	600	600	600	71	0	0.046	1	1.0
Locus41	set_88	4	600	600	600	69	0	0.044	5	1.0
Locus42	set_88	4	600	600	600	64	0	0.035	4	1.0
Locus43	set_88	4	600	600	600	67	0	0.047	7	1.0
Locus44	set_88	4	600	600	600	72	0	0.046	4	1.0
Locus45	set_88	4	600	600	600	69	0	0.040	3	1.0
Locus46	set_88	4	600	600	600	71	0	0.035	3	1.0
