LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_36	4	600	600	600	29	0	0.018	2	1.0
Locus2	set_36	4	600	600	600	28	0	0.014	2	1.0
Locus3	set_36	4	600	600	600	29	0	0.021	3	1.0
Locus4	set_36	4	600	600	600	30	0	0.014	2	1.0
Locus5	set_36	4	600	600	600	30	0	0.016	2	1.0
Locus6	set_36	4	600	600	600	30	0	0.018	4	1.0
Locus7	set_36	4	600	600	600	27	0	0.019	1	1.0
Locus8	set_36	4	600	600	600	30	0	0.015	4	1.0
Locus9	set_36	4	600	600	600	28	0	0.017	2	1.0
Locus10	set_36	4	600	600	600	29	0	0.020	1	1.0
Locus11	set_36	4	600	600	600	28	0	0.018	2	1.0
Locus12	set_36	4	600	600	600	30	0	0.016	6	1.0
Locus13	set_36	4	600	600	600	29	0	0.016	3	1.0
Locus14	set_36	4	600	600	600	29	0	0.016	5	1.0
Locus15	set_36	4	600	600	600	30	0	0.017	1	1.0
Locus16	set_36	4	600	600	600	29	0	0.019	5	1.0
Locus17	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus18	set_36	4	600	600	600	30	0	0.013	2	1.0
Locus19	set_36	4	600	600	600	30	0	0.017	2	1.0
Locus20	set_36	4	600	600	600	30	0	0.016	4	1.0
Locus21	set_36	4	600	600	600	29	0	0.016	2	1.0
Locus22	set_36	4	600	600	600	29	0	0.016	3	1.0
Locus23	set_36	4	600	600	600	28	0	0.016	2	1.0
Locus24	set_36	4	600	600	600	30	0	0.012	2	1.0
Locus25	set_36	4	600	600	600	28	0	0.014	4	1.0
Locus26	set_36	4	600	600	600	30	0	0.016	3	1.0
Locus27	set_36	4	600	600	600	30	0	0.020	3	1.0
Locus28	set_36	4	600	600	600	26	0	0.022	0	1.0
Locus29	set_36	4	600	600	600	28	0	0.019	3	1.0
Locus30	set_36	4	600	600	600	30	0	0.019	3	1.0
Locus31	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus32	set_36	4	600	600	600	30	0	0.018	4	1.0
Locus33	set_36	4	600	600	600	29	0	0.017	3	1.0
Locus34	set_36	4	600	600	600	28	0	0.019	3	1.0
Locus35	set_36	4	600	600	600	30	0	0.021	5	1.0
Locus36	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus37	set_36	4	600	600	600	29	0	0.012	2	1.0
Locus38	set_36	4	600	600	600	25	0	0.016	3	1.0
Locus39	set_36	4	600	600	600	28	0	0.019	1	1.0
Locus40	set_36	4	600	600	600	28	0	0.014	4	1.0
Locus41	set_36	4	600	600	600	29	0	0.013	2	1.0
Locus42	set_36	4	600	600	600	27	0	0.021	3	1.0
Locus43	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus44	set_36	4	600	600	600	29	0	0.015	1	1.0
Locus45	set_36	4	600	600	600	29	0	0.015	1	1.0
Locus46	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus47	set_36	4	600	600	600	27	0	0.016	2	1.0
Locus48	set_36	4	600	600	600	28	0	0.014	3	1.0
Locus49	set_36	4	600	600	600	29	0	0.019	3	1.0
Locus50	set_36	4	600	600	600	28	0	0.014	3	1.0
Locus51	set_36	4	600	600	600	30	0	0.020	3	1.0
Locus52	set_36	4	600	600	600	29	0	0.016	3	1.0
Locus53	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus54	set_36	4	600	600	600	28	0	0.016	3	1.0
Locus55	set_36	4	600	600	600	29	0	0.017	1	1.0
Locus56	set_36	4	600	600	600	30	0	0.016	3	1.0
Locus57	set_36	4	600	600	600	28	0	0.016	2	1.0
Locus58	set_36	4	600	600	600	28	0	0.019	2	1.0
Locus59	set_36	4	600	600	600	30	0	0.017	3	1.0
Locus60	set_36	4	600	600	600	30	0	0.018	4	1.0
Locus61	set_36	4	600	600	600	25	0	0.017	2	1.0
Locus62	set_36	4	600	600	600	29	0	0.015	1	1.0
Locus63	set_36	4	600	600	600	30	0	0.016	1	1.0
Locus64	set_36	4	600	600	600	30	0	0.017	1	1.0
Locus65	set_36	4	600	600	600	30	0	0.015	1	1.0
Locus66	set_36	4	600	600	600	30	0	0.023	1	1.0
Locus67	set_36	4	600	600	600	28	0	0.018	3	1.0
Locus68	set_36	4	600	600	600	30	0	0.022	2	1.0
Locus69	set_36	4	600	600	600	30	0	0.016	2	1.0
Locus70	set_36	4	600	600	600	26	0	0.017	1	1.0
Locus71	set_36	4	600	600	600	28	0	0.017	3	1.0
Locus72	set_36	4	600	600	600	27	0	0.014	3	1.0
Locus73	set_36	4	600	600	600	30	0	0.019	2	1.0
Locus74	set_36	4	600	600	600	28	0	0.015	3	1.0
Locus75	set_36	4	600	600	600	30	0	0.012	0	1.0
Locus76	set_36	4	600	600	600	30	0	0.016	3	1.0
Locus77	set_36	4	600	600	600	29	0	0.013	2	1.0
Locus78	set_36	4	600	600	600	29	0	0.014	2	1.0
Locus79	set_36	4	600	600	600	29	0	0.018	4	1.0
Locus80	set_36	4	600	600	600	27	0	0.020	4	1.0
Locus81	set_36	4	600	600	600	28	0	0.014	3	1.0
Locus82	set_36	4	600	600	600	29	0	0.019	0	1.0
Locus83	set_36	4	600	600	600	29	0	0.017	4	1.0
Locus84	set_36	4	600	600	600	29	0	0.017	1	1.0
Locus85	set_36	4	600	600	600	29	0	0.017	1	1.0
Locus86	set_36	4	600	600	600	30	0	0.017	1	1.0
Locus87	set_36	4	600	600	600	30	0	0.015	4	1.0
Locus88	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus89	set_36	4	600	600	600	30	0	0.019	3	1.0
Locus90	set_36	4	600	600	600	30	0	0.016	1	1.0
Locus91	set_36	4	600	600	600	30	0	0.023	NA	1.0
Locus92	set_36	4	600	600	600	28	0	0.015	3	1.0
Locus93	set_36	4	600	600	600	29	0	0.018	4	1.0
Locus94	set_36	4	600	600	600	28	0	0.021	2	1.0
Locus95	set_36	4	600	600	600	29	0	0.016	3	1.0
Locus96	set_36	4	600	600	600	28	0	0.014	2	1.0
Locus97	set_36	4	600	600	600	28	0	0.015	4	1.0
Locus98	set_36	4	600	600	600	30	0	0.017	1	1.0
Locus99	set_36	4	600	600	600	28	0	0.018	NA	1.0
Locus100	set_36	4	600	600	600	30	0	0.017	4	1.0
Locus101	set_36	4	600	600	600	28	0	0.016	2	1.0
Locus102	set_36	4	600	600	600	30	0	0.020	NA	1.0
Locus103	set_36	4	600	600	600	30	0	0.017	3	1.0
Locus104	set_36	4	600	600	600	30	0	0.019	2	1.0
Locus105	set_36	4	600	600	600	30	0	0.014	2	1.0
Locus106	set_36	4	600	600	600	28	0	0.019	1	1.0
Locus107	set_36	4	600	600	600	29	0	0.015	3	1.0
Locus108	set_36	4	600	600	600	30	0	0.012	1	1.0
Locus109	set_36	4	600	600	600	30	0	0.016	2	1.0
Locus110	set_36	4	600	600	600	28	0	0.020	4	1.0
Locus111	set_36	4	600	600	600	28	0	0.018	1	1.0
Locus112	set_36	4	600	600	600	29	0	0.014	3	1.0
Locus113	set_36	4	600	600	600	30	0	0.011	3	1.0
Locus114	set_36	4	600	600	600	30	0	0.016	0	1.0
Locus115	set_36	4	600	600	600	28	0	0.014	0	1.0
Locus116	set_36	4	600	600	600	30	0	0.015	3	1.0
Locus117	set_36	4	600	600	600	28	0	0.018	3	1.0
Locus118	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus119	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus120	set_36	4	600	600	600	30	0	0.013	3	1.0
Locus121	set_36	4	600	600	600	30	0	0.012	1	1.0
Locus122	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus123	set_36	4	600	600	600	30	0	0.012	2	1.0
Locus124	set_36	4	600	600	600	29	0	0.020	5	1.0
Locus125	set_36	4	600	600	600	28	0	0.017	3	1.0
Locus126	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus127	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus128	set_36	4	600	600	600	28	0	0.017	4	1.0
Locus129	set_36	4	600	600	600	30	0	0.013	3	1.0
Locus130	set_36	4	600	600	600	30	0	0.015	5	1.0
Locus131	set_36	4	600	600	600	28	0	0.019	2	1.0
Locus132	set_36	4	600	600	600	29	0	0.016	3	1.0
Locus133	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus134	set_36	4	600	600	600	29	0	0.011	1	1.0
Locus135	set_36	4	600	600	600	29	0	0.019	5	1.0
Locus136	set_36	4	600	600	600	30	0	0.020	3	1.0
Locus137	set_36	4	600	600	600	29	0	0.018	4	1.0
Locus138	set_36	4	600	600	600	28	0	0.020	3	1.0
Locus139	set_36	4	600	600	600	29	0	0.014	1	1.0
Locus140	set_36	4	600	600	600	27	0	0.019	3	1.0
Locus141	set_36	4	600	600	600	30	0	0.017	2	1.0
Locus142	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus143	set_36	4	600	600	600	30	0	0.016	1	1.0
Locus144	set_36	4	600	600	600	28	0	0.015	2	1.0
Locus145	set_36	4	600	600	600	29	0	0.018	3	1.0
Locus146	set_36	4	600	600	600	30	0	0.013	2	1.0
Locus147	set_36	4	600	600	600	29	0	0.017	1	1.0
Locus148	set_36	4	600	600	600	30	0	0.014	0	1.0
Locus149	set_36	4	600	600	600	30	0	0.017	3	1.0
Locus150	set_36	4	600	600	600	27	0	0.012	2	1.0
Locus151	set_36	4	600	600	600	28	0	0.019	1	1.0
Locus152	set_36	4	600	600	600	30	0	0.019	3	1.0
Locus153	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus154	set_36	4	600	600	600	30	0	0.017	3	1.0
Locus155	set_36	4	600	600	600	30	0	0.017	1	1.0
Locus156	set_36	4	600	600	600	29	0	0.016	1	1.0
Locus157	set_36	4	600	600	600	30	0	0.021	2	1.0
Locus158	set_36	4	600	600	600	28	0	0.018	1	1.0
Locus159	set_36	4	600	600	600	29	0	0.018	6	1.0
Locus160	set_36	4	600	600	600	30	0	0.013	2	1.0
Locus161	set_36	4	600	600	600	30	0	0.023	0	1.0
Locus162	set_36	4	600	600	600	30	0	0.017	2	1.0
Locus163	set_36	4	600	600	600	29	0	0.018	5	1.0
Locus164	set_36	4	600	600	600	26	0	0.016	2	1.0
Locus165	set_36	4	600	600	600	28	0	0.014	4	1.0
Locus166	set_36	4	600	600	600	29	0	0.018	3	1.0
Locus167	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus168	set_36	4	600	600	600	29	0	0.020	2	1.0
Locus169	set_36	4	600	600	600	29	0	0.013	1	1.0
Locus170	set_36	4	600	600	600	30	0	0.021	4	1.0
Locus171	set_36	4	600	600	600	29	0	0.017	5	1.0
Locus172	set_36	4	600	600	600	27	0	0.015	4	1.0
Locus173	set_36	4	600	600	600	29	0	0.014	4	1.0
Locus174	set_36	4	600	600	600	30	0	0.015	3	1.0
Locus175	set_36	4	600	600	600	29	0	0.015	0	1.0
Locus176	set_36	4	600	600	600	27	0	0.014	2	1.0
Locus177	set_36	4	600	600	600	30	0	0.015	4	1.0
Locus178	set_36	4	600	600	600	29	0	0.020	3	1.0
Locus179	set_36	4	600	600	600	30	0	0.013	1	1.0
Locus180	set_36	4	600	600	600	30	0	0.015	1	1.0
Locus181	set_36	4	600	600	600	27	0	0.019	3	1.0
Locus182	set_36	4	600	600	600	29	0	0.016	4	1.0
Locus183	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus184	set_36	4	600	600	600	30	0	0.014	4	1.0
Locus185	set_36	4	600	600	600	30	0	0.016	4	1.0
Locus186	set_36	4	600	600	600	30	0	0.021	2	1.0
Locus187	set_36	4	600	600	600	29	0	0.016	2	1.0
Locus188	set_36	4	600	600	600	26	0	0.018	2	1.0
Locus189	set_36	4	600	600	600	29	0	0.014	2	1.0
Locus190	set_36	4	600	600	600	30	0	0.021	4	1.0
Locus191	set_36	4	600	600	600	29	0	0.019	4	1.0
Locus192	set_36	4	600	600	600	30	0	0.014	3	1.0
Locus193	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus194	set_36	4	600	600	600	27	0	0.015	2	1.0
Locus195	set_36	4	600	600	600	29	0	0.015	1	1.0
Locus196	set_36	4	600	600	600	30	0	0.019	2	1.0
Locus197	set_36	4	600	600	600	28	0	0.019	1	1.0
Locus198	set_36	4	600	600	600	28	0	0.016	2	1.0
Locus199	set_36	4	600	600	600	30	0	0.018	1	1.0
Locus200	set_36	4	600	600	600	29	0	0.016	1	1.0
Locus201	set_36	4	600	600	600	27	0	0.021	1	1.0
Locus202	set_36	4	600	600	600	29	0	0.015	2	1.0
Locus203	set_36	4	600	600	600	29	0	0.019	0	1.0
Locus204	set_36	4	600	600	600	28	0	0.019	2	1.0
Locus205	set_36	4	600	600	600	30	0	0.019	1	1.0
Locus206	set_36	4	600	600	600	29	0	0.014	1	1.0
Locus207	set_36	4	600	600	600	30	0	0.017	4	1.0
Locus208	set_36	4	600	600	600	30	0	0.013	3	1.0
Locus209	set_36	4	600	600	600	29	0	0.014	2	1.0
Locus210	set_36	4	600	600	600	30	0	0.016	2	1.0
Locus211	set_36	4	600	600	600	29	0	0.015	4	1.0
Locus212	set_36	4	600	600	600	30	0	0.019	3	1.0
Locus213	set_36	4	600	600	600	27	0	0.016	2	1.0
Locus214	set_36	4	600	600	600	27	0	0.010	1	1.0
Locus215	set_36	4	600	600	600	30	0	0.016	2	1.0
Locus216	set_36	4	600	600	600	29	0	0.017	5	1.0
Locus217	set_36	4	600	600	600	30	0	0.021	1	1.0
Locus218	set_36	4	600	600	600	27	0	0.014	4	1.0
Locus219	set_36	4	600	600	600	30	0	0.018	3	1.0
Locus220	set_36	4	600	600	600	30	0	0.019	2	1.0
Locus221	set_36	4	600	600	600	28	0	0.024	1	1.0
Locus222	set_36	4	600	600	600	29	0	0.019	2	1.0
Locus223	set_36	4	600	600	600	30	0	0.019	2	1.0
Locus224	set_36	4	600	600	600	29	0	0.019	2	1.0
Locus225	set_36	4	600	600	600	27	0	0.014	2	1.0
Locus226	set_36	4	600	600	600	30	0	0.023	1	1.0
Locus227	set_36	4	600	600	600	26	0	0.019	0	1.0
Locus228	set_36	4	600	600	600	29	0	0.012	3	1.0
Locus229	set_36	4	600	600	600	30	0	0.015	4	1.0
Locus230	set_36	4	600	600	600	29	0	0.015	1	1.0
Locus231	set_36	4	600	600	600	29	0	0.017	5	1.0
Locus232	set_36	4	600	600	600	29	0	0.014	2	1.0
Locus233	set_36	4	600	600	600	29	0	0.018	4	1.0
Locus234	set_36	4	600	600	600	27	0	0.014	2	1.0
Locus235	set_36	4	600	600	600	30	0	0.016	3	1.0
Locus236	set_36	4	600	600	600	28	0	0.020	2	1.0
Locus237	set_36	4	600	600	600	30	0	0.017	2	1.0
Locus238	set_36	4	600	600	600	29	0	0.018	3	1.0
Locus239	set_36	4	600	600	600	28	0	0.020	0	1.0
Locus240	set_36	4	600	600	600	29	0	0.016	4	1.0
Locus241	set_36	4	600	600	600	29	0	0.017	3	1.0
Locus242	set_36	4	600	600	600	30	0	0.017	2	1.0
Locus243	set_36	4	600	600	600	30	0	0.019	4	1.0
Locus244	set_36	4	600	600	600	30	0	0.018	1	1.0
Locus245	set_36	4	600	600	600	30	0	0.014	1	1.0
Locus246	set_36	4	600	600	600	30	0	0.018	2	1.0
Locus247	set_36	4	600	600	600	29	0	0.015	4	1.0
Locus248	set_36	4	600	600	600	27	0	0.020	6	1.0
