LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_104	4	600	600	600	80	0	0.052	5	1.0
Locus2	set_104	4	600	600	600	75	0	0.051	1	1.0
Locus3	set_104	4	600	600	600	81	0	0.060	1	1.0
Locus4	set_104	4	600	600	600	80	0	0.045	0	1.0
Locus5	set_104	4	600	600	600	83	0	0.039	5	1.0
Locus6	set_104	4	600	600	600	87	0	0.052	1	1.0
Locus7	set_104	4	600	600	600	85	0	0.052	3	1.0
Locus8	set_104	4	600	600	600	84	0	0.042	2	1.0
Locus9	set_104	4	600	600	600	83	0	0.046	1	1.0
Locus10	set_104	4	600	600	600	77	0	0.054	2	1.0
Locus11	set_104	4	600	600	600	77	0	0.047	3	1.0
Locus12	set_104	4	600	600	600	83	0	0.043	2	1.0
Locus13	set_104	4	600	600	600	79	0	0.041	4	1.0
Locus14	set_104	4	600	600	600	80	0	0.045	4	1.0
Locus15	set_104	4	600	600	600	77	0	0.050	5	1.0
Locus16	set_104	4	600	600	600	81	0	0.053	1	1.0
Locus17	set_104	4	600	600	600	76	0	0.039	9	1.0
Locus18	set_104	4	600	600	600	82	0	0.040	3	1.0
Locus19	set_104	4	600	600	600	83	0	0.046	2	1.0
Locus20	set_104	4	600	600	600	87	0	0.042	2	1.0
Locus21	set_104	4	600	600	600	82	0	0.038	3	1.0
Locus22	set_104	4	600	600	600	84	0	0.050	2	1.0
Locus23	set_104	4	600	600	600	81	0	0.058	4	1.0
Locus24	set_104	4	600	600	600	81	0	0.043	4	1.0
Locus25	set_104	4	600	600	600	85	0	0.048	1	1.0
Locus26	set_104	4	600	600	600	84	0	0.055	1	1.0
Locus27	set_104	4	600	600	600	82	0	0.055	1	1.0
Locus28	set_104	4	600	600	600	85	0	0.042	1	1.0
Locus29	set_104	4	600	600	600	81	0	0.044	8	1.0
Locus30	set_104	4	600	600	600	84	0	0.050	2	1.0
Locus31	set_104	4	600	600	600	83	0	0.045	4	1.0
Locus32	set_104	4	600	600	600	82	0	0.049	5	1.0
Locus33	set_104	4	600	600	600	84	0	0.055	0	1.0
Locus34	set_104	4	600	600	600	78	0	0.058	1	1.0
Locus35	set_104	4	600	600	600	81	0	0.051	1	1.0
Locus36	set_104	4	600	600	600	82	0	0.046	3	1.0
Locus37	set_104	4	600	600	600	81	0	0.056	4	1.0
Locus38	set_104	4	600	600	600	75	0	0.059	2	1.0
Locus39	set_104	4	600	600	600	80	0	0.044	3	1.0
Locus40	set_104	4	600	600	600	82	0	0.045	1	1.0
Locus41	set_104	4	600	600	600	82	0	0.032	1	1.0
Locus42	set_104	4	600	600	600	83	0	0.057	2	1.0
Locus43	set_104	4	600	600	600	81	0	0.049	3	1.0
Locus44	set_104	4	600	600	600	79	0	0.041	2	1.0
Locus45	set_104	4	600	600	600	81	0	0.028	3	1.0
Locus46	set_104	4	600	600	600	82	0	0.051	3	1.0
Locus47	set_104	4	600	600	600	84	0	0.038	5	1.0
Locus48	set_104	4	600	600	600	85	0	0.041	2	1.0
Locus49	set_104	4	600	600	600	88	0	0.049	4	1.0
Locus50	set_104	4	600	600	600	81	0	0.047	3	1.0
Locus51	set_104	4	600	600	600	82	0	0.054	1	1.0
