LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_114	4	600	600	600	86	0	0.052	4	1.0
Locus2	set_114	4	600	600	600	87	0	0.064	5	1.0
Locus3	set_114	4	600	600	600	86	0	0.046	4	1.0
Locus4	set_114	4	600	600	600	85	0	0.047	7	1.0
Locus5	set_114	4	600	600	600	86	0	0.056	6	1.0
Locus6	set_114	4	600	600	600	91	0	0.045	9	1.0
Locus7	set_114	4	600	600	600	88	0	0.056	3	1.0
Locus8	set_114	4	600	600	600	84	0	0.062	5	1.0
Locus9	set_114	4	600	600	600	89	0	0.047	7	1.0
Locus10	set_114	4	600	600	600	85	0	0.048	5	1.0
Locus11	set_114	4	600	600	600	86	0	0.048	6	1.0
Locus12	set_114	4	600	600	600	83	0	0.052	8	1.0
Locus13	set_114	4	600	600	600	86	0	0.046	5	1.0
Locus14	set_114	4	600	600	600	90	0	0.054	4	1.0
Locus15	set_114	4	600	600	600	88	0	0.058	4	1.0
Locus16	set_114	4	600	600	600	87	0	0.046	8	1.0
Locus17	set_114	4	600	600	600	85	0	0.050	8	1.0
Locus18	set_114	4	600	600	600	87	0	0.050	6	1.0
Locus19	set_114	4	600	600	600	87	0	0.042	4	1.0
Locus20	set_114	4	600	600	600	87	0	0.056	6	1.0
Locus21	set_114	4	600	600	600	88	0	0.054	6	1.0
Locus22	set_114	4	600	600	600	86	0	0.050	9	1.0
Locus23	set_114	4	600	600	600	87	0	0.059	4	1.0
Locus24	set_114	4	600	600	600	87	0	0.049	10	1.0
Locus25	set_114	4	600	600	600	84	0	0.059	1	1.0
Locus26	set_114	4	600	600	600	86	0	0.055	5	1.0
Locus27	set_114	4	600	600	600	85	0	0.047	2	1.0
Locus28	set_114	4	600	600	600	84	0	0.055	1	1.0
Locus29	set_114	4	600	600	600	89	0	0.053	9	1.0
Locus30	set_114	4	600	600	600	87	0	0.053	4	1.0
Locus31	set_114	4	600	600	600	83	0	0.041	8	1.0
Locus32	set_114	4	600	600	600	84	0	0.059	3	1.0
Locus33	set_114	4	600	600	600	83	0	0.055	4	1.0
Locus34	set_114	4	600	600	600	79	0	0.054	5	1.0
Locus35	set_114	4	600	600	600	85	0	0.046	4	1.0
Locus36	set_114	4	600	600	600	89	0	0.052	4	1.0
Locus37	set_114	4	600	600	600	88	0	0.051	4	1.0
Locus38	set_114	4	600	600	600	84	0	0.057	1	1.0
Locus39	set_114	4	600	600	600	88	0	0.052	8	1.0
Locus40	set_114	4	600	600	600	86	0	0.058	6	1.0
Locus41	set_114	4	600	600	600	89	0	0.053	7	1.0
Locus42	set_114	4	600	600	600	86	0	0.046	8	1.0
Locus43	set_114	4	600	600	600	92	0	0.043	6	1.0
Locus44	set_114	4	600	600	600	81	0	0.051	8	1.0
Locus45	set_114	4	600	600	600	83	0	0.058	3	1.0
Locus46	set_114	4	600	600	600	84	0	0.043	6	1.0
Locus47	set_114	4	600	600	600	84	0	0.050	5	1.0
Locus48	set_114	4	600	600	600	87	0	0.048	10	1.0
Locus49	set_114	4	600	600	600	90	0	0.051	4	1.0
Locus50	set_114	4	600	600	600	87	0	0.054	6	1.0
Locus51	set_114	4	600	600	600	86	0	0.058	6	1.0
Locus52	set_114	4	600	600	600	85	0	0.049	7	1.0
Locus53	set_114	4	600	600	600	86	0	0.065	3	1.0
Locus54	set_114	4	600	600	600	85	0	0.045	4	1.0
Locus55	set_114	4	600	600	600	87	0	0.043	6	1.0
Locus56	set_114	4	600	600	600	84	0	0.057	6	1.0
Locus57	set_114	4	600	600	600	87	0	0.049	3	1.0
Locus58	set_114	4	600	600	600	83	0	0.054	4	1.0
Locus59	set_114	4	600	600	600	86	0	0.049	8	1.0
Locus60	set_114	4	600	600	600	89	0	0.049	8	1.0
Locus61	set_114	4	600	600	600	87	0	0.043	5	1.0
Locus62	set_114	4	600	600	600	81	0	0.046	5	1.0
Locus63	set_114	4	600	600	600	88	0	0.055	5	1.0
Locus64	set_114	4	600	600	600	79	0	0.048	7	1.0
Locus65	set_114	4	600	600	600	88	0	0.052	5	1.0
