LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_112	4	600	600	600	87	0	0.049	3	1.0
Locus2	set_112	4	600	600	600	84	0	0.047	6	1.0
Locus3	set_112	4	600	600	600	84	0	0.043	4	1.0
Locus4	set_112	4	600	600	600	81	0	0.049	4	1.0
Locus5	set_112	4	600	600	600	87	0	0.051	6	1.0
Locus6	set_112	4	600	600	600	88	0	0.060	5	1.0
Locus7	set_112	4	600	600	600	83	0	0.052	7	1.0
Locus8	set_112	4	600	600	600	88	0	0.061	3	1.0
Locus9	set_112	4	600	600	600	78	0	0.060	1	1.0
Locus10	set_112	4	600	600	600	88	0	0.050	5	1.0
Locus11	set_112	4	600	600	600	84	0	0.046	7	1.0
Locus12	set_112	4	600	600	600	87	0	0.041	4	1.0
Locus13	set_112	4	600	600	600	79	0	0.054	2	1.0
Locus14	set_112	4	600	600	600	82	0	0.051	3	1.0
Locus15	set_112	4	600	600	600	88	0	0.054	4	1.0
Locus16	set_112	4	600	600	600	85	0	0.058	3	1.0
Locus17	set_112	4	600	600	600	83	0	0.047	5	1.0
Locus18	set_112	4	600	600	600	85	0	0.055	2	1.0
Locus19	set_112	4	600	600	600	88	0	0.052	4	1.0
Locus20	set_112	4	600	600	600	81	0	0.049	5	1.0
Locus21	set_112	4	600	600	600	87	0	0.058	NA	1.0
Locus22	set_112	4	600	600	600	84	0	0.048	4	1.0
Locus23	set_112	4	600	600	600	90	0	0.052	2	1.0
Locus24	set_112	4	600	600	600	85	0	0.054	4	1.0
Locus25	set_112	4	600	600	600	87	0	0.055	5	1.0
Locus26	set_112	4	600	600	600	91	0	0.038	4	1.0
Locus27	set_112	4	600	600	600	91	0	0.049	2	1.0
Locus28	set_112	4	600	600	600	88	0	0.049	6	1.0
Locus29	set_112	4	600	600	600	86	0	0.043	6	1.0
Locus30	set_112	4	600	600	600	89	0	0.051	9	1.0
Locus31	set_112	4	600	600	600	85	0	0.050	3	1.0
Locus32	set_112	4	600	600	600	89	0	0.049	4	1.0
