LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_58	4	600	600	600	47	0	0.031	1	1.0
Locus2	set_58	4	600	600	600	48	0	0.021	1	1.0
Locus3	set_58	4	600	600	600	49	0	0.025	NA	1.0
Locus4	set_58	4	600	600	600	45	0	0.029	3	1.0
Locus5	set_58	4	600	600	600	47	0	0.025	0	1.0
Locus6	set_58	4	600	600	600	45	0	0.030	4	1.0
Locus7	set_58	4	600	600	600	47	0	0.029	6	1.0
Locus8	set_58	4	600	600	600	48	0	0.027	4	1.0
Locus9	set_58	4	600	600	600	50	0	0.029	2	1.0
Locus10	set_58	4	600	600	600	49	0	0.027	3	1.0
Locus11	set_58	4	600	600	600	47	0	0.034	3	1.0
Locus12	set_58	4	600	600	600	44	0	0.029	2	1.0
Locus13	set_58	4	600	600	600	49	0	0.025	3	1.0
Locus14	set_58	4	600	600	600	48	0	0.029	4	1.0
Locus15	set_58	4	600	600	600	46	0	0.035	0	1.0
Locus16	set_58	4	600	600	600	46	0	0.023	4	1.0
Locus17	set_58	4	600	600	600	48	0	0.033	0	1.0
Locus18	set_58	4	600	600	600	48	0	0.025	3	1.0
Locus19	set_58	4	600	600	600	46	0	0.029	NA	1.0
Locus20	set_58	4	600	600	600	46	0	0.030	2	1.0
Locus21	set_58	4	600	600	600	44	0	0.029	3	1.0
Locus22	set_58	4	600	600	600	48	0	0.023	6	1.0
Locus23	set_58	4	600	600	600	47	0	0.025	2	1.0
Locus24	set_58	4	600	600	600	46	0	0.024	3	1.0
Locus25	set_58	4	600	600	600	44	0	0.028	1	1.0
Locus26	set_58	4	600	600	600	47	0	0.023	2	1.0
Locus27	set_58	4	600	600	600	45	0	0.024	4	1.0
Locus28	set_58	4	600	600	600	47	0	0.025	0	1.0
Locus29	set_58	4	600	600	600	48	0	0.029	4	1.0
Locus30	set_58	4	600	600	600	48	0	0.027	1	1.0
Locus31	set_58	4	600	600	600	46	0	0.027	3	1.0
Locus32	set_58	4	600	600	600	50	0	0.031	4	1.0
Locus33	set_58	4	600	600	600	48	0	0.029	0	1.0
Locus34	set_58	4	600	600	600	50	0	0.027	4	1.0
Locus35	set_58	4	600	600	600	49	0	0.028	3	1.0
Locus36	set_58	4	600	600	600	46	0	0.029	1	1.0
