LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_34	4	600	600	600	30	0	0.019	3	1.0
Locus2	set_34	4	600	600	600	28	0	0.020	4	1.0
Locus3	set_34	4	600	600	600	29	0	0.015	3	1.0
Locus4	set_34	4	600	600	600	30	0	0.014	0	1.0
Locus5	set_34	4	600	600	600	29	0	0.019	0	1.0
Locus6	set_34	4	600	600	600	30	0	0.014	3	1.0
Locus7	set_34	4	600	600	600	29	0	0.013	5	1.0
Locus8	set_34	4	600	600	600	27	0	0.015	1	1.0
Locus9	set_34	4	600	600	600	29	0	0.013	3	1.0
Locus10	set_34	4	600	600	600	30	0	0.017	NA	1.0
Locus11	set_34	4	600	600	600	30	0	0.014	1	1.0
Locus12	set_34	4	600	600	600	30	0	0.016	0	1.0
Locus13	set_34	4	600	600	600	30	0	0.013	2	1.0
Locus14	set_34	4	600	600	600	30	0	0.016	3	1.0
Locus15	set_34	4	600	600	600	28	0	0.015	2	1.0
Locus16	set_34	4	600	600	600	29	0	0.016	1	1.0
Locus17	set_34	4	600	600	600	26	0	0.017	2	1.0
Locus18	set_34	4	600	600	600	30	0	0.013	1	1.0
Locus19	set_34	4	600	600	600	29	0	0.011	1	1.0
Locus20	set_34	4	600	600	600	29	0	0.018	4	1.0
Locus21	set_34	4	600	600	600	30	0	0.018	4	1.0
Locus22	set_34	4	600	600	600	30	0	0.014	5	1.0
Locus23	set_34	4	600	600	600	30	0	0.018	5	1.0
Locus24	set_34	4	600	600	600	28	0	0.015	2	1.0
Locus25	set_34	4	600	600	600	29	0	0.014	2	1.0
Locus26	set_34	4	600	600	600	29	0	0.017	1	1.0
Locus27	set_34	4	600	600	600	29	0	0.017	1	1.0
Locus28	set_34	4	600	600	600	28	0	0.018	0	1.0
Locus29	set_34	4	600	600	600	29	0	0.019	6	1.0
Locus30	set_34	4	600	600	600	27	0	0.021	1	1.0
Locus31	set_34	4	600	600	600	29	0	0.014	2	1.0
Locus32	set_34	4	600	600	600	29	0	0.013	1	1.0
Locus33	set_34	4	600	600	600	30	0	0.019	1	1.0
Locus34	set_34	4	600	600	600	30	0	0.017	2	1.0
Locus35	set_34	4	600	600	600	29	0	0.021	2	1.0
Locus36	set_34	4	600	600	600	30	0	0.019	2	1.0
Locus37	set_34	4	600	600	600	29	0	0.017	3	1.0
Locus38	set_34	4	600	600	600	30	0	0.020	2	1.0
Locus39	set_34	4	600	600	600	30	0	0.018	1	1.0
Locus40	set_34	4	600	600	600	29	0	0.016	1	1.0
Locus41	set_34	4	600	600	600	30	0	0.015	3	1.0
Locus42	set_34	4	600	600	600	29	0	0.016	3	1.0
Locus43	set_34	4	600	600	600	28	0	0.017	2	1.0
Locus44	set_34	4	600	600	600	30	0	0.021	3	1.0
Locus45	set_34	4	600	600	600	29	0	0.016	0	1.0
Locus46	set_34	4	600	600	600	28	0	0.018	2	1.0
Locus47	set_34	4	600	600	600	29	0	0.019	1	1.0
Locus48	set_34	4	600	600	600	30	0	0.020	3	1.0
Locus49	set_34	4	600	600	600	30	0	0.015	2	1.0
Locus50	set_34	4	600	600	600	29	0	0.016	1	1.0
Locus51	set_34	4	600	600	600	29	0	0.016	1	1.0
Locus52	set_34	4	600	600	600	28	0	0.015	5	1.0
Locus53	set_34	4	600	600	600	30	0	0.017	1	1.0
Locus54	set_34	4	600	600	600	30	0	0.018	2	1.0
Locus55	set_34	4	600	600	600	30	0	0.015	3	1.0
Locus56	set_34	4	600	600	600	29	0	0.020	2	1.0
Locus57	set_34	4	600	600	600	28	0	0.016	4	1.0
Locus58	set_34	4	600	600	600	30	0	0.020	3	1.0
Locus59	set_34	4	600	600	600	25	0	0.014	2	1.0
Locus60	set_34	4	600	600	600	30	0	0.016	0	1.0
Locus61	set_34	4	600	600	600	29	0	0.020	1	1.0
Locus62	set_34	4	600	600	600	30	0	0.020	2	1.0
Locus63	set_34	4	600	600	600	29	0	0.012	3	1.0
Locus64	set_34	4	600	600	600	29	0	0.014	1	1.0
Locus65	set_34	4	600	600	600	30	0	0.019	3	1.0
Locus66	set_34	4	600	600	600	27	0	0.017	3	1.0
Locus67	set_34	4	600	600	600	30	0	0.018	3	1.0
Locus68	set_34	4	600	600	600	30	0	0.014	2	1.0
Locus69	set_34	4	600	600	600	30	0	0.013	2	1.0
Locus70	set_34	4	600	600	600	30	0	0.016	3	1.0
Locus71	set_34	4	600	600	600	29	0	0.016	2	1.0
Locus72	set_34	4	600	600	600	27	0	0.019	2	1.0
Locus73	set_34	4	600	600	600	27	0	0.014	1	1.0
Locus74	set_34	4	600	600	600	27	0	0.016	3	1.0
Locus75	set_34	4	600	600	600	30	0	0.013	0	1.0
Locus76	set_34	4	600	600	600	29	0	0.015	1	1.0
Locus77	set_34	4	600	600	600	28	0	0.014	2	1.0
Locus78	set_34	4	600	600	600	30	0	0.016	2	1.0
Locus79	set_34	4	600	600	600	30	0	0.020	0	1.0
Locus80	set_34	4	600	600	600	28	0	0.019	3	1.0
Locus81	set_34	4	600	600	600	30	0	0.014	2	1.0
Locus82	set_34	4	600	600	600	26	0	0.015	2	1.0
Locus83	set_34	4	600	600	600	30	0	0.012	0	1.0
Locus84	set_34	4	600	600	600	30	0	0.022	4	1.0
Locus85	set_34	4	600	600	600	30	0	0.011	NA	1.0
Locus86	set_34	4	600	600	600	30	0	0.016	1	1.0
Locus87	set_34	4	600	600	600	29	0	0.018	1	1.0
Locus88	set_34	4	600	600	600	29	0	0.014	2	1.0
Locus89	set_34	4	600	600	600	30	0	0.016	2	1.0
Locus90	set_34	4	600	600	600	30	0	0.015	1	1.0
Locus91	set_34	4	600	600	600	30	0	0.017	1	1.0
Locus92	set_34	4	600	600	600	28	0	0.016	1	1.0
Locus93	set_34	4	600	600	600	30	0	0.014	2	1.0
Locus94	set_34	4	600	600	600	27	0	0.016	3	1.0
Locus95	set_34	4	600	600	600	30	0	0.014	2	1.0
Locus96	set_34	4	600	600	600	30	0	0.018	1	1.0
Locus97	set_34	4	600	600	600	28	0	0.016	1	1.0
Locus98	set_34	4	600	600	600	27	0	0.015	4	1.0
Locus99	set_34	4	600	600	600	29	0	0.017	3	1.0
